"TweetID","User","Tweet","Latitude","Longitude","IsUrl","IsHashtag","IsRetweet","Language","Category","W_namin","W_mauubusan","W_ipriority","W_kailangan","W_nasa","W_talaga","W_hindi","W_than","W_need","W_nila","W_church","W_more","W_iaccommodate","W_yung","Length"
"1232","earl_ezpeleta","Sana naman ipriority talaga ng local government lalo na sa Visayas yung pagtulong sa mga maaapektuhan ng Bagyo. #RubyPH",,,"1","0","0","tl","CH","0","0","0","0","0","1","1","1","0","0","0","0","0","0","20"
"1254","mariangavalon","News update: Di pa rin tapos sa pamimigay ng relief goods and paglilista kung ilang mga households ang nag evacuate #RubyPH","12.539419","124.876031","1","0","0","tl","CH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"1262","JoshAne_Ashmatt","@DZMMTeleRadyo: Taft, E. Samar Mayor Libanan: Kailangan talaga namin ng food supply, mauubusan na po kami rito #RubyPH",,,"1","0","0","tl","CH","1","0","1","0","0","0","1","0","0","0","1","0","0","0","23"
"1381","TheWingedImago","RT @philredcross @RescuePH @MarikinaPIO @MMDA Aquilino Silva, Blk 66 Roga Compound, Tumana, Marikina. 09267777459. #RescuePH",,,"1","0","0","tl","CH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"1398","maphnie","More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH",,,"1","0","0","tl","CH","0","1","0","1","1","1","0","0","1","1","0","1","1","1","25"
"1402","MattLeeShoots","RT @maphnie: More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH",,,"1","0","1","tl","CH","0","1","0","1","1","1","0","0","1","1","0","1","1","1","28"
"1404","SheWantsTheDIM","RT @maphnie: More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH",,,"1","0","1","tl","CH","0","1","0","1","1","1","0","0","1","1","0","1","1","1","28"
"1405","icohizon","RT @maphnie: More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH",,,"1","0","1","tl","CH","0","1","0","1","1","1","0","0","1","1","0","1","1","1","28"
"1445","cincodeziall","Purok 5, Indigo Phase 1, Malanday, Marikina, Muntinlupa, Metro Manila #RescuePH",,,"1","0","0","tl","CH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"2448","openphoenix","ms #RubyPH pwede ba tumalon ka nalang sa #haciendabinay don mo e concentrate lakas mo",,,"1","0","0","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"2517","pornkidmgc","RT @njhnike: stay safe mga filos!! #RubyPH",,,"1","0","1","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"2540","odvinachristian","RT @MgaPatamaPosts: I can feel #RubyPH now in Pampanga. Nafefeel mo narin ba?",,,"1","0","1","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"2542","Mikkky_12","RT @MgaPatamaPosts: I can feel #RubyPH now in Pampanga. Nafefeel mo narin ba?",,,"1","0","1","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"2565","shemmcytive","RT @noahnelse: Guys, mahalin nalang naten si #RubyPH para umalis! Diba ganon naman kapag minamahal natin?! iniiwan lang tayo! Hahaha nabaÃ¢â?¬Â¦",,,"1","0","1","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
"2566","Dreypansoy23","RT @nkkareyes: @KuyaEdu: Gusto niyo mawala si #RubyPH? Mahalin niyo! Kasi putangina lahat naman ng minamahal natin nawawala",,,"1","0","1","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22"
"2567","patabaingCHICO","RT @npm_ambayec: @patabaingCHICO sapul na sapul San Juan at Lobo ni #RubyPH as of now dun siya dumadaan :(",,,"1","0","1","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"2568","SuperAlliana04","RT @MgaPatamaPosts: Takutin ko kaya si #RubyPH para magulat tapos tumakbo ng mabilis?",,,"1","0","1","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
"2570","Alexis_Chua09","RT @MgaPatamaPosts: Takutin ko kaya si #RubyPH para magulat tapos tumakbo ng mabilis?",,,"1","0","1","tl","O","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15"
